audience,example,person,entity_type,count,over_summary_length
peer,masked_template,1,GPE,11,0.00451559934318555
peer,masked_template,1,LOC,1,0.00041050903119868636
peer,masked_template,1,PERSON,2,0.0008210180623973727
peer,masked_template,1,FAC,1,0.00041050903119868636
peer,masked_template,1,TOTAL,25,0.010262725779967159
peer,masked_template,1,CARDINAL,2,0.0008210180623973727
peer,masked_template,1,PERCENT,1,0.00041050903119868636
peer,masked_template,1,NORP,2,0.0008210180623973727
peer,masked_template,1,MONEY,3,0.0012315270935960591
peer,masked_template,1,ORG,2,0.0008210180623973727
peer,masked_template,1,GPE,11,0.00451559934318555
peer,masked_template,1,LOC,1,0.00041050903119868636
peer,masked_template,1,PERSON,2,0.0008210180623973727
peer,masked_template,1,FAC,1,0.00041050903119868636
peer,masked_template,1,TOTAL,25,0.010262725779967159
peer,masked_template,1,CARDINAL,2,0.0008210180623973727
peer,masked_template,1,PERCENT,1,0.00041050903119868636
peer,masked_template,1,NORP,2,0.0008210180623973727
peer,masked_template,1,MONEY,3,0.0012315270935960591
peer,masked_template,1,ORG,2,0.0008210180623973727
peer,masked_template,1,GPE,11,0.00451559934318555
peer,masked_template,1,LOC,1,0.00041050903119868636
peer,masked_template,1,PERSON,2,0.0008210180623973727
peer,masked_template,1,FAC,1,0.00041050903119868636
peer,masked_template,1,TOTAL,25,0.010262725779967159
manager,none,1,NORP,1,0.0007107320540156361
manager,none,1,MONEY,1,0.0007107320540156361
manager,none,1,GPE,9,0.006396588486140725
manager,none,1,FAC,1,0.0007107320540156361
manager,none,1,PERSON,1,0.0007107320540156361
manager,none,1,TOTAL,13,0.00923951670220327
manager,none,1,NORP,1,0.0007107320540156361
manager,none,1,MONEY,1,0.0007107320540156361
manager,none,1,GPE,9,0.006396588486140725
manager,none,1,FAC,1,0.0007107320540156361
manager,none,1,PERSON,1,0.0007107320540156361
manager,none,1,TOTAL,13,0.00923951670220327
manager,none,1,NORP,1,0.0007107320540156361
manager,none,1,MONEY,1,0.0007107320540156361
manager,none,1,GPE,9,0.006396588486140725
manager,none,1,FAC,1,0.0007107320540156361
manager,none,1,PERSON,1,0.0007107320540156361
manager,none,1,TOTAL,13,0.00923951670220327
manager,manual_example,1,NORP,1,0.00038774718883288094
manager,manual_example,1,MONEY,2,0.0007754943776657619
manager,manual_example,1,ORG,3,0.0011632415664986429
manager,manual_example,1,GPE,13,0.005040713454827452
manager,manual_example,1,LOC,2,0.0007754943776657619
manager,manual_example,1,PERSON,8,0.0031019775106630476
manager,manual_example,1,DATE,3,0.0011632415664986429
manager,manual_example,1,CARDINAL,2,0.0007754943776657619
manager,manual_example,1,TIME,1,0.00038774718883288094
manager,manual_example,1,PERCENT,1,0.00038774718883288094
manager,manual_example,1,TOTAL,36,0.013958898797983715
manager,manual_example,1,NORP,1,0.00038774718883288094
manager,manual_example,1,MONEY,2,0.0007754943776657619
manager,manual_example,1,ORG,3,0.0011632415664986429
manager,manual_example,1,GPE,13,0.005040713454827452
manager,manual_example,1,LOC,2,0.0007754943776657619
manager,manual_example,1,PERSON,8,0.0031019775106630476
manager,manual_example,1,DATE,3,0.0011632415664986429
manager,manual_example,1,CARDINAL,2,0.0007754943776657619
manager,manual_example,1,TIME,1,0.00038774718883288094
manager,manual_example,1,PERCENT,1,0.00038774718883288094
manager,manual_example,1,TOTAL,36,0.013958898797983715
manager,manual_example,1,NORP,1,0.00038774718883288094
manager,manual_example,1,MONEY,2,0.0007754943776657619
manager,manual_example,1,ORG,3,0.0011632415664986429
manager,manual_example,1,GPE,13,0.005040713454827452
manager,manual_example,1,LOC,2,0.0007754943776657619
manager,manual_example,1,PERSON,8,0.0031019775106630476
manager,manual_example,1,DATE,3,0.0011632415664986429
manager,manual_example,1,CARDINAL,2,0.0007754943776657619
manager,manual_example,1,TIME,1,0.00038774718883288094
manager,manual_example,1,PERCENT,1,0.00038774718883288094
manager,manual_example,1,TOTAL,36,0.013958898797983715
manager,masked_manual_example,1,NORP,2,0.0006190034045187249
manager,masked_manual_example,1,MONEY,1,0.00030950170225936243
manager,masked_manual_example,1,PERSON,19,0.005880532342927886
manager,masked_manual_example,1,ORG,5,0.0015475085112968121
manager,masked_manual_example,1,GPE,17,0.005261528938409161
manager,masked_manual_example,1,LOC,2,0.0006190034045187249
manager,masked_manual_example,1,DATE,6,0.0018570102135561746
manager,masked_manual_example,1,FAC,1,0.00030950170225936243
manager,masked_manual_example,1,CARDINAL,1,0.00030950170225936243
manager,masked_manual_example,1,ORDINAL,1,0.00030950170225936243
manager,masked_manual_example,1,TOTAL,55,0.017022593624264934
manager,masked_manual_example,1,NORP,2,0.0006190034045187249
manager,masked_manual_example,1,MONEY,1,0.00030950170225936243
manager,masked_manual_example,1,PERSON,19,0.005880532342927886
manager,masked_manual_example,1,ORG,5,0.0015475085112968121
manager,masked_manual_example,1,GPE,17,0.005261528938409161
manager,masked_manual_example,1,LOC,2,0.0006190034045187249
manager,masked_manual_example,1,DATE,6,0.0018570102135561746
manager,masked_manual_example,1,FAC,1,0.00030950170225936243
manager,masked_manual_example,1,CARDINAL,1,0.00030950170225936243
manager,masked_manual_example,1,ORDINAL,1,0.00030950170225936243
manager,masked_manual_example,1,TOTAL,55,0.017022593624264934
manager,masked_manual_example,1,NORP,2,0.0006190034045187249
manager,masked_manual_example,1,MONEY,1,0.00030950170225936243
manager,masked_manual_example,1,PERSON,19,0.005880532342927886
manager,masked_manual_example,1,ORG,5,0.0015475085112968121
manager,masked_manual_example,1,GPE,17,0.005261528938409161
manager,masked_manual_example,1,LOC,2,0.0006190034045187249
manager,masked_manual_example,1,DATE,6,0.0018570102135561746
manager,masked_manual_example,1,FAC,1,0.00030950170225936243
manager,masked_manual_example,1,CARDINAL,1,0.00030950170225936243
manager,masked_manual_example,1,ORDINAL,1,0.00030950170225936243
manager,masked_manual_example,1,TOTAL,55,0.017022593624264934
manager,masked_template,1,CARDINAL,2,0.0009760858955588092
manager,masked_template,1,PERCENT,1,0.0004880429477794046
manager,masked_template,1,NORP,2,0.0009760858955588092
manager,masked_template,1,MONEY,1,0.0004880429477794046
manager,masked_template,1,GPE,6,0.0029282576866764276
manager,masked_template,1,FAC,2,0.0009760858955588092
manager,masked_template,1,PERSON,2,0.0009760858955588092
manager,masked_template,1,ORG,4,0.0019521717911176184
manager,masked_template,1,TOTAL,20,0.009760858955588092
manager,masked_template,1,CARDINAL,2,0.0009760858955588092
manager,masked_template,1,PERCENT,1,0.0004880429477794046
manager,masked_template,1,NORP,2,0.0009760858955588092
manager,masked_template,1,MONEY,1,0.0004880429477794046
manager,masked_template,1,GPE,6,0.0029282576866764276
manager,masked_template,1,FAC,2,0.0009760858955588092
manager,masked_template,1,PERSON,2,0.0009760858955588092
manager,masked_template,1,ORG,4,0.0019521717911176184
manager,masked_template,1,TOTAL,20,0.009760858955588092
manager,masked_template,1,CARDINAL,2,0.0009760858955588092
manager,masked_template,1,PERCENT,1,0.0004880429477794046
manager,masked_template,1,NORP,2,0.0009760858955588092
manager,masked_template,1,MONEY,1,0.0004880429477794046
manager,masked_template,1,GPE,6,0.0029282576866764276
manager,masked_template,1,FAC,2,0.0009760858955588092
manager,masked_template,1,PERSON,2,0.0009760858955588092
manager,masked_template,1,ORG,4,0.0019521717911176184
manager,masked_template,1,TOTAL,20,0.009760858955588092
none,none,2,GPE,27,0.014077163712200209
none,none,2,ORG,6,0.0031282586027111575
none,none,2,PERSON,9,0.0046923879040667365
none,none,2,MONEY,1,0.0005213764337851929
none,none,2,DATE,3,0.0015641293013555788
none,none,2,FAC,1,0.0005213764337851929
none,none,2,LOC,1,0.0005213764337851929
none,none,2,TOTAL,48,0.02502606882168926
none,none,2,GPE,27,0.014077163712200209
none,none,2,ORG,6,0.0031282586027111575
none,none,2,PERSON,9,0.0046923879040667365
none,none,2,MONEY,1,0.0005213764337851929
none,none,2,DATE,3,0.0015641293013555788
none,none,2,FAC,1,0.0005213764337851929
none,none,2,LOC,1,0.0005213764337851929
none,none,2,TOTAL,48,0.02502606882168926
